Companies,URL,CBInsightsDescription,QuidDescription,CrunchbaseDescription
Kidaptive,kidaptive.com,"Kidaptive is a media and technology company dedicated to smart storytelling on iPads and a curriculum developed in collaboration with Stanford University researchers to create entertaining and adaptive content that helps children learn. The company's first product, Leo's Pad, will engage preschool-aged children with games, puzzles, and projects woven into an immersive story arc. The technology will use embedded assessments to customize learning, support metacognitive development, and provide parents with applicable intelligence and useful tips about how to further support a child's progress and interests.On March 16th, 2021 Kidaptive was acquired by McGraw Hill. Terms of the transaction were not disclosed.","Kidaptive, Inc. develops interactive educational content for preschoolers. The company's products include Leo's Pad, a series of interactive educational applications for children and Parent's Pad, a built-in assessment tool for parents; Adaptive Learning Platform (ALP) brings together observations from across contexts, which include tiles in mosaic, producing a detailed picture of that learner progress and preferences. Kidaptive, Inc. was founded in 2011 and is based in Redwood City, California. As of March 16, 2021, Kidaptive, Inc. operates as a subsidiary of McGraw-Hill Education, Inc.",Kidaptive is a media and technology company creating entertaining and adaptive content that helps children learn.
Knewton,knewton.com,"Knewton engages in adaptive learning PaaS technology, which continuously personalizes online learning content for individual students.","Knewton, Inc. provides an online adaptive learning engine. It offers Knewton, a platform that provides students with tailored recommendations for exactly what to study; teachers with analytics to better support each student; and publishers with content insights to develop more effective digital products. The company also provides adaptive learning solutions for higher education students in various subjects that include math, economics, reading and writing, biology, anatomy and physiology, chemistry, physics, engineering, and finance and accounting; and Alta, an integrated adaptive learning courseware for higher education. Its technology is used by educational companies and institutions. Knewton, Inc. was founded in 2008 and is based in New York, New York with additional offices in London, United Kingdom and Tokyo, Japan.",Knewton is an adaptive learning technology provider with a mission to bring personalized education to the world.
Knowledge Holdings,knowledgeadventure.com,"Knowledge Holdings, through its subsidiary, Knowledge Adventure, offers kids' software, creating educational products for use in the home and the classroom. Knowledge Adventure's JumpStart and MathBlaster products invite kids to learn through gaming adventures in 3D virtual worlds. By blending learning and entertainment, Knowledge Adventure's adventure-based learning inspires kids' minds through immersed play. A subsidiary of Knowledge Holdings, the company is privately-held and based in Torrance, California.","Knowledge Holdings, Inc., through its subsidiary JumpStart Games, Inc., develops, publishes, and distributes multimedia educational software and products for use in home and classroom. The company was incorporated in 2004 and is based in Torrance, California.","Knowledge Adventure provides 3D-based, educational childrenâ€™s software for home and classroom use."
Lessonly,lessonly.com,"Lesson.ly makes training software for growing businesses. With tools to build, share, and track lessons and courses, Lesson.ly helps get teams up-to-speed and keep them there, no training background required.","Lessonly, LLC offers training software solutions for teams to learn and practice. It offers Lessonly, a training software solution that enables users to build, share, and track their training materials. The companyÂ’s Lessonly offers customer service training software, sales enablement software, new employee on-boarding software, online training software, on-the-job training software, employee training software, and learning management systems. It serves B2B, B2C, retail, and healthcare industries. The company was founded in 2012 and is based in Indianapolis, Indiana.","Lessonly is a simple training software that helps teams learn, practice, and do better work."
littleBits,littlebits.com,"littleBits is the New York-based hardware startup that is empowering kids everywhere to become inventors. Through its platform of easy-to-use electronic building blocks, littleBits allows anyone to create and prototype with electronics, independent of age, gender or technical ability. By embracing STEAM (Science, Technology, Engineering, Art and Mathematics), both girls and boys can invent solutions to the problems that matter to them.","littleBits Electronics Inc. develops and provides electronic building blocks that snap together with magnets to enable users to build, invent, and prototype with electronics. The company offers littleBits modules, circuit-boards with functions engineered to snap together with magnets. Additionally, it provides hardware development kits; USB and power modules; remote triggers and oscillators; micro sequencers and keyboards; toggle switches and light sensors; and accessories. littleBits Electronics Inc. was founded in 2011 and is headquartered in New York, New York. As of August 23, 2019, littleBits Electronics Inc. operates as a subsidiary of Sphero, Inc.",LittleBits is an open-source library of electronic modules that allows users to learn electronics via prototypes.
MasteryConnect,masteryconnect.com,"MasteryConnect is a provider in curriculum, assessment and mastery learning tools for K-12. MasteryConnect makes it much easier for teachers to identify and track students levels of understanding against any set of standards, so they can engage more deeply with students. MasteryConnect supports teachers via its Mastery Learning Platform, as well as through their numerous apps on all Web-enabled devices.","MasteryConnect Inc. operates an online community for educators in the United States. The company allows educators to connect with their colleagues, share and discover common assessments and resources, track mastery of standards, and collaborate. Its platform facilitates teachers to share assessments of various curriculum types, such as multiple choice, open-answer, rubrics, writing, and oral assessments; pin and discover standards aligned resources; save time with built-in grading tools, such as tablet, mobile device, web browser, and GradeCam bubblesheet scanning; and join the learning community. The company also offers Teacher App for Android to make mobile-enabled formative and performance-based assessment available to teachers using any smart device. MasteryConnect Inc. was founded in 2009 and is based in Sandy, Utah. As of April 5, 2019, MasteryConnect Inc. operates as a subsidiary of Instructure, Inc.",MasteryConnect is an assessment and curriculum platform that provides innovative tools for teachers.
MPOWER Financing,mpowerfinancing.com,MPOWER is a fintech company and provider of educational loans to high-promise international students who do not fit the traditional credit criteria of banks or lenders. The company's mission is to remove the financial barriers to higher education in the United States by providing the financial resources necessary for these students to attend and complete their undergraduate or graduate education.,"MPOWER Financing, Public Benefit Corporation provides educational loans to international and DACA students studying in the United States and Canada. Its loans are used to cover student related expenses, such as basic tuition, housing, food, insurance, and books. The company also provides flexible funding options. In addition, it has partnered with various universities to identify potential candidates for loans. The company was incorporated in 2014 and is based in Washington, District of Columbia with additional offices worldwide.",MPOWER Financing is a social benefit corporation financing domestic and international students.
Mursion,mursion.com,"Mursion leverages artificial intelligence and live human interaction to provide VR training for essential skills in the workplace. Simulations are designed for the modern workforce, staging interactions between learners and avatars to achieve the realism needed for measurable, high-impact results.","Mursion, Inc. develops a virtual reality environment where professionals practice and master the complex interpersonal skills. It offers Mursion, a virtual reality platform that delivers personalized simulations by using a combination of artificial intelligence and live actors; provides a range of workplace environments in which to simulate challenging interpersonal exchanges; and forces learners to take risks from which they could learn how to improve their day-to-day performance. The company platform is used by a range of organizations in healthcare, education, hospitality, finance, and other corporate sectors. Mursion, Inc. was formerly known as AMITIES, INC. and changed its name to Mursion, Inc. in May 2015. The company was incorporated in 2014 and is headquartered in San Francisco, California with an additional office in San Francisco, California.","Mursion, a virtual reality environment or platform where professionals practice and master the complex interpersonal skills."
Mytonomy,mytonomy.com,"Mytonomy's Cloud for Healthcare helps healthcare organizations give patients what they need to care for themselves in the palm of their hands. Mytonomy engages patients in their care with attention-getting, broadcast-quality micro-learning videos, and a powerful suite of communication and survey tools for continuous improvement. Orchestrated by an intelligent healthcare CRM, Mytonomy adapts to each patient to deliver a tailored experience that helps them manage chronic conditions, better prepare for invasive procedures, and more accurately adhere to post-discharge treatment plans. This is a foundational element in driving digital transformation and a new model of virtual care. As a result, Mytonomy enables organizations to achieve better results and helps patients get healthier.","Mytonomy, Inc. provides microlearning software and specialized content solutions for patient education. The company delivers SaaS solutions to catalyze self-efficacy in patients helping them reach their health potential; and enables hospitals to deliver health care using systematic patient and caregiver instruction. It serves hospitals, patients, and caregivers. The company was founded in 2011 and is based in Bethesda, Maryland.",MytonomyÂ® helps healthcare organizations give patients what they need to care for themselves â€“ in the palm of their hands.
Nearpod,nearpod.com,"Nearpod offers an all-in-one solution for the synchronized use of mobile devices in the classroom. The platform allows teachers to create and customize interactive mobile presentations.On February 19th, 2021, Nearpod was acquired by Renaissance at a valuation of $650M.","Nearpod Inc. develops a cloud-based platform to enhance the learning process in classrooms and distance learning. It offers Nearpod, a solution for the synchronized use of iPads in the classroom that enables instructors to launch interactive multimedia presentations to engage their students and assess their work with the use of iPads. The company also operates a Nearpod certified educatorÂ’s community where it shows webinar, lessons, and training materials. It also offers curriculum services, such as Nearpod lesson library, digital citizenship and literacy, college and career exploration, English learners, social emotional learning, historical perspectives and literacy, and learning labs. The company was founded in 2011 and is based in Dania Beach, Florida with an additional office in Brooklyn, New York. As of March 12, 2021, Nearpod Inc. operates as a subsidiary of Renaissance Learning Inc.","Nearpod is a provider of edtech platform for K-12 teachers to create interactive slides filled with videos, quizzes, and other activities."
Newsela,newsela.com,"Newsela unlocks the written word by publishing daily news articles from media sources like the Associated Press, Washington Post, Tribune News Service and Scientific American at five reading levels to engage students in grades 2-12 in high-interest topics from immigration and diplomacy to drones and animal extinction.","Newsela, Inc. publishes online news articles daily to help students master the advanced literacy skills. It offers news on war and peace, science, kids, money, law, health, arts, and sports categories. Newsela, Inc. was formerly known as Whipsmart Learning LLC. The company was founded in 2013 and is based in New York, New York.",Newsela is an Ed-tech startup that takes content from trusted providers and turns it into learning materials.
Niche.com,niche.com,"Niche is a research site that helps people intelligently choose schools and places to live. By blending millions of community reviews and opinions with hard data, the company makes choosing a college, K-12 school, or place to live a more transparent process.","Niche.com Inc. operates an online platform that allows users to discover the schools, companies, and neighborhoods in the United States. Its platform offers reviews, analysis, rankings, report cards, and profiles for K-12 schools, colleges, graduate schools, and places to live. Niche.com Inc. was formerly known as College Prowler, Inc. The company was founded in 2002 and is based in Pittsburgh, Pennsylvania.","Niche.com is a platform that enables users to discover and research U.S. colleges, schools, neighborhoods, and companies."
Noodle Partners,noodle-partners.com,Noodle Partners focuses on helping colleges and universities create and manage online and hybrid programs.,"Noodle Partners, Inc. develops and provides an online education infrastructure platform to allow universities and colleges to offer online services and programs. It enables universities to build certificate or degree programs in the areas of marketing, student recruitment, enrollment, curriculum design, social engagement, support services, graduate placement, and alumni engagement. The company also provides services in the areas of student recruitment, instructional design and faculty support, counseling and support for students, community and social engagement, job and career placement, alumni engagement, dashboards, and financing. Noodle Partners, Inc. was incorporated in 2013 and is based in New York, New York.","Noodle is an organization that connects students with schools, programs, resources, and experts."
Open English,openenglish.com,"Open English is an online school created to reinvent the English-language-learning experience. Through live instruction with native English speaking teachers and multimedia learning materials, all provided over the Internet, Open English empowers students on their customized path to English fluency in a 12-month time period.","Open English Tutoring Ltd provides non-instructional activities that support educational processes and systems. Open English Tutoring Ltd was incorporated in 2018 and is based in Hemel Hempstead, United Kingdom.",Open English is an educational technology company focused on English language learning for the Latin American and U.S. Hispanic markets.
OpenSesame,opensesame.com,"OpenSesame helps develop productive workforces by offering a comprehensive catalog of elearning courses. The company supports companies in finding courses, mapping them to core competencies, syncing them with a learning management system (LMS) to increase utilization and improve learning & development (L&D) programs.","OpenSesame Inc. operates an online marketplace for e-learning courses. Its platform allows users to preview courses, read reviews, and research sellers of online training courses. The company has a strategic partnership with Aasonn, LLC. OpenSesame Inc. was founded in 2011 and is based in Portland, Oregon with an additional office in London, United Kingdom.",OpenSesame is an e-learning company that provides online training courses for businesses and employees.
Orbis Education,orbiseducation.com,"Orbis Education creates, markets, and manages collaborative nursing education solutions that alleviate nursing shortages for hospitals and healthcare systems. The company leverages alliances with nursing schools to provide flexible, customized, baccalaureate level programs. Orbis powers the growth of online programs by facilitating operations, management, student recruitment and the technology behind the program.","Orbis Education Services, LLC provides solutions to healthcare workforce shortages. The company creates partnerships between academic institutions and employers managing clinically healthcare programs, such as nursing and occupational therapy. It provides services, including upfront capital investment, innovative academic platforms, and clinical placement partnerships. Orbis Education Services, LLC was founded in 2003 and is based in Indianapolis, Indiana. As of January 22, 2019, Orbis Education Services, LLC operates as a subsidiary of Grand Canyon Education, Inc.",Orbis Education provides collaborative nursing education solutions that alleviate nursing shortages for hospitals and healthcare systems.
Osso VR,ossovr.com,"Osso VR is a virtual reality surgical training tech company that provides surgeons, sales teams, and other trainees with an on-demand training platform featuring realistic, haptic-enhanced, interactions in an immersive training environment. It is device agnostic, and is currently compatible with Oculus Rift/Touch and HTC Vive hardware. Through analytics dashboards, trainees and administrators can receive feedback regarding their run-throughs and tailored guidance to help them reach proficiency.","Osso VR Inc. develops virtual reality surgical training platform for orthopedic and other medical specialties. The product consists of realistic and haptic-enhanced interactions in an immersive training environment to simulate surgical processes. Additionally, it offers analytic dashboards and tailored guidance for the procedure. The company offers its product to surgeons, sales teams, and medical trainees. Osso VR Inc. was founded in 2016 and is based in Palo Alto, California.",Osso VR is a training and assessment platform focused on surgical virtual reality.
Outschool,outschool.com,Outschool is a marketplace of live online classes for kids. Classes meet in small-groups over live video-chat and are offered by independent teachers direct to parents.,"Outschool, Inc. operates an education platform that offers a range of engaging and small-group classes online. The companyÂ’s platform connects real-life teachers with learners. It serves employers and schools. Outschool, Inc. was formerly known as Banjo Helmet, Inc. The company was incorporated in 2014 and is based in San Francisco, California.","Outschool is a marketplace of live online classes for kids that connects learners, parents, and teachers together."
Panorama Education,panoramaed.com,"Panorama Education partners with K-12 schools to collect and analyze feedback from teachers, parents and students. Panorama's technology platform helps teachers grow, and schools use Panorama's tools to address issues such as parent involvement, bullying prevention, school safety and student engagement.",Panorama Education Group specializes in the field of education. It is based in China.,Panorama Education brings the power of data to education through a SaaS platform used by hundreds of school districts across the US.
