Companies,URL,CBInsightsDescription,QuidDescription,CrunchbaseDescription
DarkLight,darklight.ai,Darklight’s software uses artificial intelligence and machine learning to help automate workflow tasks.,"Darklight, Inc. develops an artificial intelligence-based platform for active cyber defense and trusted information sharing. It is a force multiplier, which leverages the logic, knowledge, and experience of the security analysts to deliver human-quality results, at scale. Darklight, Inc. was formerly known as Champion Technology Company, Inc. and changed its name to Darklight, Inc. in October 2018. The company was incorporated in 2013 and is based in Redmond, Washington.",Cybersecurity software bringing simple solutions to challenging problems.
Dascena,dascena.com,Dascena develops machine learning algorithms to enable early disease intervention and improve care outcomes for patients.,"Dascena, Inc develops algorithm software for diagnostics and biomarkers. It provides AlgoDiagnostics, for acute decompensation, sepsis, and acute kidney injury autonomously processes electronic health record data to enable early intervention. The company was incorporated in 2018 and is based in Oakland, California.",Dascena develops machine learning algorithms to enable early disease intervention and improve care outcomes for patients.
Dasha.AI,dasha.ai,"Dasha.AI is an AI platform that allows businesses to design, test, and launch rich, human-level voice conversations, automate workflows, and lower operating costs.","Dasha.AI Inc. provides an online platform to design, test, and launch human-level voice conversations. It enable users to automate workflows. The company offers its platform for human resource recruitment, lead search, call quality assessment, information, survey and market research, accepting orders, and counseling. Dasha.AI Inc. is based in Novosibirsk, Russia.","Dasha.AI is the first and only AI platform that allows you to design, test and launch rich, human-level voice conversations."
DataChat,datachat.ai,"DataChat’s AI-powered platform empowers to unlock the full value of data and makes better, quicker business decisions. It is based in Madison, Wisconsin.","DataChat, Inc. develops a data analytics platform. It offers a conversational intelligence platform to obtain insights from the data by chatting with the platform; carry out a range of data analytics functions, including exploratory and predictive analytics, structured and free search querying, visualization, and data wrangling; and take data puzzle-solving recipes and share it with others. The companys platform is also used to collaborate and create new recipes/iterate over existing ones; create data science programs; uncover patterns in data and explain it to user in plain English; and solve data puzzles. DataChat, Inc. was founded in 2017 and is based in Madison, Wisconsin.",DataChat is a new Conversational Intelligence platform.
Decision Cloud,decisioncloud.io,Element Data is a decision intelligence technology firm. Element Data's decision intelligence-based decision cloud platform incorporates human intuition into the decision support process. Decision Cloud's enterprise software platform supports decisions large and small - from complex and collaborative business decisions to individual product purchase choices.,"Decision Cloud is provides strategies and services for information management. We combine innovative use of technology with extensive business experience in a range of industries to deliver solutions that help our clients achieve rapid and sustainable business advantage.  We; - We ensure our solutions meet real business requirements - We address the clientâ€:tm:s issues, not our own - We keep abreast of industry developments - We encourage and foster innovative thinking and practices.",Decision Cloud is a Provider of a cognitive computing platform.
Declara,declara.com,"Declara is focused on bringing data to life. The company, founded in 2012, builds a technology platform that uses machine learning, search, algorithms and recommendations to develop specific learning paths for individuals, making learning a constant discovery. Instead of giving every person the identical learning path, the Declara platform surfaces the right content in the right context. Based on an individual's interactions with informational data - blogs, web sites and documents - and social data - tweets, posts, colleagues, experts - the Declara platform creates a CognitiveGraph giving every individual their own personalized learning path. This platform is already being used to drive learning across a diverse group of organizations to accelerate innovation; increase efficiency and drive","Declara, Inc. provides an intelligent social learning platform that connects people to content. Its platform features include social collaboration, intuitive search, content creation, intelligent chat, live mentoring, assessment, and progress tracking. The company provides analytics on how people learn, what content they use/generate, and which peers and mentors help them for customers to own and improve their learning, as well as content providers to refine their products and organizational leaders. It serves governments, companies, educational institutions, and research organizations. The company was founded in 2012 and is based in Palo Alto, California. As of April 11, 2019, Declara, Inc. operates as a subsidiary of Futuryng Inc.","Declara makes is easy to discover, collect, and share knowledge with a community of like-minded people."
Deep 6 AI,deep6.ai,"Deep 6 AI finds patients for clinical trials in minutes rather than months. Using artificial intelligence and natural language processing on clinical data, Deep 6 AI's software accelerates patient recruitment exponentially, getting life-saving treatment to patients more quickly.","Deep 6 AI Inc. operates an artificial intelligence (AI) based patient trial matching technology platform that finds patients for clinical trials. Its software analyzes structured data, such as ICD-10 codes, and unstructured clinical data, including doctors notes, pathology reports, operating notes, and other important medical data in free-text form to extract new clinical data points, such as symptoms, diagnoses, treatments, genomics, lifestyle data, and more using AI and natural language processing for turning fragmented medical documents into unified patient graphs that contain information needed to match complex clinical trial criteria. The companys software also identifies patients with conditions not explicitly mentioned in medical records, as well as finds more patients who better match trial criteria. Deep 6 AI Inc. was formerly known as Deep 6 Analytics, LLC and changed its name to Deep 6 AI Inc. in March 2017. The company was founded in 2013 and is based in Pasadena, California.",Deep 6 AI is an AI-based platform that finds patients for clinical trials and it helps to provide cure to people.
Deep Instinct,deepinstinct.com,"Deep Instinct applies a subset of artificial intelligence (AI), known as deep learning, to cybersecurity. The company has built a vast neural network that is trained on hundreds of millions of files. There are no human dependencies related to identifying and preventing cyber attacks. As a result, threats are detected >99% of the time, with a false positive rate <0.1%.","Deep Instinct Ltd. develops a cybersecurity solution that provides on-device and real-time detection and prevention of zero-day threats and advanced persistent threat attacks for various mobile devices, endpoints, platforms, and operating systems. The company was founded in 2014 and is based in Tel Aviv, Israel with an additional office in New York, New York.","Deep Instinct applies deep learning to cybersecurity, offering zero-day attack protection."
DiagnosisAI,diagnosisai.com,"Diagnosis AI provides an artificial intelligence platform (DexMD) that assists doctors by guiding patients through medical issues by providing reminders, answers to questions, diagnoses and recommended treatments while helping doctors maximize reimbursements.","DiagnosisAI, LLC is a healthcare technology company that uses artificial intelligence to empower patients, making the complex medical system easier to understand. The company was founded in 2016 and is based in Denver, Colorado.",DiagnosisAI combines medicine and artificial intelligence to empower patients and provide peace of mind.
Diffbot,diffbot.com,Diffbot is a visual learning robot that identifies and extracts the important parts of any web page. The company allows developers to build apps that can automatically extract meaning from web pages.,"Diffbot Corp. operates a robot that examines the Web using computer vision and natural language processing. Its computer vision and machine learning services include structure Web data with better-than-human-level accuracy across various Websites or languages. The company offers software developers with tools to extract and understand objects from any Web page. Its solutions include Automatic APIs to extract content from supported page types, such as articles, products, discussions, images, and more; Crawlbot that uses companys API to extract data from entire sites, and Bulk Processing that extracts structured data from various URLs in a single job; and Custom APIs that enables users to extract any data from any Web page using custom rules and an instant API. It provides solutions for building an app that uses Web content; an enterprise business application; or a smart robotic assistant. The company was founded in 2006 and is based in Palo Alto, California.",Diffbot is an AI startup that provides knowledge as a service to power intelligent applications.
Digital Reasoning Systems,digitalreasoning.com,"Digital Reasoning applies AI to communications data to accelerate knowledge work and analyze human behavior. The company uses machine learning ubiquitously across its solutions, with a particular focus on surfacing highly valuable but rare events at a speed and scale human analysts cannot. Its technology has been deployed globally at many financial services organizations and government agencies. Additionally, in the healthcare space, the company uses this technology to identify and prioritize newly diagnosed cancer patients. This allows the provider to find cancer faster and begin treatment sooner. It also assures the health system the ability to know who in their system has cancer and retains those patients in their network.On November 10th, 2020 Digital Reasoning was acquired by Smarsh. ","Digital Reasoning Systems, Inc. builds data analytic solutions for processing and organizing unstructured data into meaningful data automatically. The company offers Synthesys, an entity oriented analytics software for the automatic categorization, linking, retrieval, and profiling of unstructured data; and provides tools that visualize the connections across the data set, as well as it allows to build solutions for intelligence analysts in the government, commercial market solutions, and cloud security solutions. Its Synthesys also includes various features, including natural language processing, entity resolution, geo reasoning, temporal reasoning, link analysis, associative net, and open API for integration. The company also provides solutions for legal, medical, and financial market. Digital Reasoning Systems, Inc. has strategic partnerships with IPC Systems Holdings Corp.; and North Highland. The company was founded in 2000 and is based in Franklin, Tennessee with additional offices in New York, New York; Washington, District of Columbia; and London, United Kingdom.",Digital Reasoning is a developer of an artificial intelligence cognitive computing platform intended for businesses.
Digital Signal Corporation,digitalsignalcorp.com,Digital Signal Corporation (DSC) provides three dimensional (3D) long-range facial recognition solutions for government and commercial clients. The company offers enterprise biometric solutions and customized applications to suit customer needs.,"Digital Signal Corporation develops three-dimensional facial recognition systems. The company provides facial intelligence sensors, software, systems, and services. It serves commercial and government customers. The company was founded in 2001 and is based in Chantilly, Virginia. As of March 12, 2018, Digital Signal Corporation operates as a subsidiary of StereoVision Imaging, Inc.",Digital Signal provides precision long range three dimensional identity solutions to its clients.
eBrevia,ebrevia.com,"eBrevia is commercializing natural language processing technology developed at Columbia University to assist corporate attorneys, in-house counsel, and business executives in performing a variety of tasks more efficiently, accurately, and cost effectively. Using machine learning techniques, the company's software can extract and summarize legal provisions from a wide array of legal documents. The company's products have applications for due diligence, document management, and document drafting.","eBrevia, Inc. develops and provides artificial intelligence based software for due diligence, contract management, lease abstraction, and document drafting. It offers Diligence Accelerator that allows attorneys to work through the due diligence process by extracting content from legal documents, populating due diligence summary templates, and bringing the attorneys directly to the relevant portions of the contracts being reviewed and eBrevia Contract Analyzer, which assists organizations of various sizes in storing, retrieving, and analyzing their contracts. The company provides Lease Abstractor that simplifies a lease reviewers workflow by extracting content from leases and bringing the reviewer directly to the most relevant portions of documents and eBrevia Bespoke, which identifies custom terms in legal documents. Its software is used by law firms and corporate legal departments. The company has a strategic partnership with Donnelley Financial Solutions, Inc. eBrevia, Inc. was founded in 2011 and is based in Stamford, Connecticut with additional offices in San Francisco, California and New York, New York. As of December 28, 2018, eBrevia, Inc. operates as a subsidiary of Donnelley Financial Solutions, Inc.",EBrevia commercializes machine-learning technology developed at Columbia University to analyze and extract information from contracts.
EINO,eino.ai,EINO is an AI platform that produces predictive and historical insights on localized population movement and their intention in urban areas for enterprise business users.,"EINO, Inc. develops predictive software through which it offers users to forecast the movement of people and their intent in urban areas. The company was founded in 2018 and is based in New York, New York.",Predicting future for optimal planning and distribution of our resources
Ejenta,ejenta.com,"Ejenta is building an intelligent personal assistant platform that can be applied to several industry verticals including space, government and healthcare. Ejenta's personal agent technology uses artificial intelligence to understand users' daily activities, to monitor adherence to plans, and to offer personalized advice, coaching and support.","Ejenta Inc. develops and operates an intelligent personal assistant platform that uses artificial intelligence to understand users daily activities, to monitor adherence to mission plans, and to offer personalized advice, coaching, and support. Ejenta Inc. was incorporated in 2012 and is based in San Francisco, California.",Ejenta offers an AI platform designed as an intelligent agents for connected care.
Elafris,elafris.com,"Elafris has developed a virtual insurance agent, SaaS platform that links insurers and consumers via messenger applications. The AI-driven, insurance-specific chatbot technology learns from customer interactions to help them identify and purchase the right insurance coverage, provide convenient payment reminders and credit card processing, and provide guided insurance claims processes via a smartphone. The company's long-term vision is to replace human agents for all insurance related interactions – improving customer satisfaction, reducing service costs, and increasing insurance sales.","Elafris, Inc develops an artificial technology (AI) driven digital assistant platform that enables financial institutions to engage consumers via messenger applications. The company offers AI-driven, insurance-specific chatbot technology that learns from customer interactions to help them identify and purchase the right insurance coverage, provide convenient payment reminders, credit card processing, and provide guided insurance claims processes via a smartphone. It offers AI assistant for insurance carriers that automates quotes, upsells, cross sells, and improves retention; and AI assistant for agencies to take payments, provide certificates of insurance, and allow customers to communicate. The company was incorporated in 2016 and is based in East Palo Alto, California.",Elafris is a developer of an AI-driven digital assistant platform that helps financial institutions to engage consumers via social media.
Fairmarkit,fairmarkit.com,"Fairmarkit is an intelligent sourcing platform that empowers organizations to more efficiently purchase the goods and services they need. By equipping procurement and supply-chain teams with automation and data, Fairmarkit promotes competitive bidding while reducing manual work within existing processes.","Fairmarkit, Inc. develops an intelligent sourcing platform for tail spending management, procurement transformation, and supplier diversity solutions. It serves procurement departments. The company was incorporated in 2017 and is headquartered in Boston, Massachusetts.",Fairmarkit is an intelligent sourcing platform that empowers organizations to more efficiently purchase the goods and services they need.
Falkonry,falkonry.com,"Falkonry enables predictive operations for companies seeking to improve the uptime, quality, and throughput of their operations. Falkonry’s machine learning system enables operations teams to discover, explain and predict operational behaviors, without requiring data scientists. The product can be deployed across the enterprise either on-premises, in the cloud or on the edge. It enables customers to save millions of dollars in operating costs and achieve a 5-10 times ROI.","Falkonry Inc. develops a machine learning software that updates condition recognition capabilities resulting from new data and expert feedback. It offers products, such as Falkonry LRS that multivariates time series data to discover patterns, predict critical events, and explain behaviors in operations; and Falkonry Edge Analyzer, a portable engine enabling predictive models to be deployed on edge devices. The company serves Global Fortune 2000 industrial companies. Falkonry Inc. was founded in 2012 and is based in Sunnyvale, California.","Falkonry enables predictive operational excellence at Global 2000 companies for improved performance, throughput, quality and yield."
FanAI,fanai.io,"FanAI uses AI to optimize fan and brand engagement in eSports. The company offers personalized experiences for each fan from content and offers to live events; helps rights owners understand the data, protect and grow sponsorship revenue, and increase their sponsorship portfolio; and enables sponsors to target micro-segments, optimize speed, and improve ROI.","FanAI Inc. owns and operates an artificial intelligence (AI) driven audience monetization platform. The company provides sponsors the insight to understand the fans, the ability to tailor the right targeted relationship with the right fan at the right time, and to predict the fans response. It serves esports and ecosystem of event organizers, game publishers, leagues, teams, sponsorship, digital agencies, and brands/sponsors. The companys platform includes dashboards, real time analysis, fan segments, behavior analytics, return on investment measurement, and return on sponsorship. The company was founded in 2016 and is based in Santa Monica, California.",FanAI is an AI-driven Audience Monetization platform focusing first on esports.
GetIntent,getintent.com,"GetIntent provides transparent and convenient access to RTB infrastructure. The company's solutions are based on its own native technologies, powered by machine-learning algorithms, which support marketers across the globe allowing them to activate data and optimize every touchpoint across all their media. The GetIntent platform is designed to handle all kinds of ad formats, namely desktop, video, mobile and native ads, where the company has the most formidable competency.","GetIntent USA Inc, an advertising technology company, develops and delivers AI-powered customizable AI-powered programmatic suite for agencies, publishers, broadcasters, and content owners to manage their advertising campaigns. The company was founded in 2013 and is based in New York, New York with an additional office in Moscow, Russia. As of December 30, 2019, GetIntent USA Inc operates as a subsidiary of JSC Gazprom-media Holding.","Getintent is offering a highly customizable AI-powered programmatic suite for agencies, publishers, broadcasters and content owners."
Giant Otter Technologies,giantotter.com,Giant Otter simulates face-to-face dialogue and social behavior using data recorded from thousands of real people interacting together. The company is creating a platform to support online imaginative role-playing for applications in education and entertainment.,"Giant Otter Technologies, Inc. develops a conversational artificial intelligence technology solutions for the videogame industry. The company develops an artificial intelligence platform that uses various representations of meaning, maintaining coherent dialogues, and explaining their own decisions. Its platform offers data generation, conversation modelling, and bot testing and optimization services. Giant Otter Technologies, Inc. was founded in 2013 and is based in Somerville, Massachusetts. As of December 31, 2018, Giant Otter Technologies, Inc. operates as a subsidiary of Drift.com, Inc.",Giant Otter offers a radically new way to create conversational AI directly from existing call recordings or chat transcripts
GravityAI,gravity-ai.com,"GravityAI is a platform for enterprise product teams to explore, test, procure, and integrate 3rd party AI algorithms.","Gravity AI is a onine commerce and marketplace company explore, test, procure, and integrate AI solutions.","Gravity AI is a onine commerce and marketplace company explore, test, procure, and integrate AI solutions."
H2O.ai,h2o.ai,"H2O.ai is an AI company that makes machine learning accessible to corporates and allows business users to extract key information from data, without needing prior knowledge in deploying or tuning machine learning model, with key deployments in financial services, insurance, healthcare, among other industries.","H2O.ai, Inc. develops an open source parallel processing prediction engine for machine learning and predictive analytics on big data. It offers H2O, an open source predictive analytics platform for data scientists, application developers, and business analysts who need in-memory machine learning for smarter applications; H2O Driverless AI, the automatic machine learning platform; H2O Wave, which is an open source development framework that enables users to develop applications in real-time, powered by AI technology. The company also provides marketing mix modeling, risk and fraud analysis, advertising technology, and customer intelligence solutions. The company has a strategic collaboration with Alteryx, Inc. H20.ai, Inc, was formerly known as 0xdata, Inc. and changed its name to H20.ai, Inc, in November 2014. The company was founded in 2011 and is headquartered in Mountain View, California.",H2O.ai is an open source machine learning platform that makes it easy to build smart applications.
Hacware,hacware.com,Hacware is an AI-driven cybersecurity software that prevents insider threats and email phishing.,"Hacware, Inc. develops an artificial intelligence based software that identifies the employees that are most likely to be hacked based on their habits. It products automate sending intelligent messages to the employees to simulate an email hack. The company also offers real-time analytics and training recommendations on email security. Hacware, Inc. was incorporated in 2017 and is based in Dallas, Texas.",Hacware is an A.I. driven Email Security Awareness product that help lean IT teams combat phishing attacks through experiential learning.
Hakia,hakia.com,hakia provides an ontological semantic and natural language processing (NLP) based search engine.,"hakia, Inc., a semantic search technology company, deploys semantic search solutions for online users. The company, through Aerohakia.com, offers mission critical information related to the maintenance, manufacture, overhaul, regulations, and other operations specifically customized for the aerospace industry. It also provides MoodTRADE.com, an investment tool that enables an investor to instantly assess the character and impact of information from traditional news, online, and social media on a company's valuation; hakia.com, a web search engine, that focuses on segments, including web, news, blogs, hakia galleries, credible sources, videos, and images; and newpubmed.com, a search engine service to the health community. hakia, Inc. was founded in 2004 and is based in New York, New York with offices and datacenters in New York, New York; and Silicon Valley, California, as well as Maryland and Tennessee.",hakia is a search engine that employs enterprise and real-time search solutions to provide results based on meaning match.
HighRadius,highradius.com,"HighRadius is a fintech enterprise SaaS platform that automates accounts receivable and treasury processes with AI-based autonomous systems powered by the Rivana AI Engine and Freeda Digital Assistant.  HighRadius Integrated Receivables platform reduces cycle times in order-to-cash process through automation of receivables and payments processes across credit, electronic billing and payment processing, cash application, deductions, and collections. HighRadius Treasury Management helps teams achieve touchless cash management, accurate forecasting, and seamless bank reconciliation.","HighRadius Corporation develops and provides financial supply chain management software solutions to automate and optimize the business processes of receivables functions. It offers POD & Claims Automation that enables companies to improve their receivables financial performance by automating the process of retrieving documents, such as proof-of-delivery, bill of lading, customer debit memos/claims, and scanned check copies from various websites; and Dispute Resolution, which enables standardization and enforcement of deduction processes by providing cross-department collaboration through automatic dispute case routing and processing. The company also provides Cash Application that enhances the ERP lock box functionality by increasing the on-invoice hit rate by auto-matching open payments to invoices based on additional reference numbers; Credit Memo Approval that automates the process of creating and approving credit memos electronically; and Credit Debit Matching, a rules based engine that systematically operates on transaction data to mass match and reconcile credits and debits based on pre-configured matching criteria. In addition, it offers Correspondence Automation that enables outbound customer communications related document generation and delivery directly from ERP through fax, email, or print; and Autonomous Receivables software for order to cash solutions. The company has strategic partnerships with SAP and Credit Research Foundation. HighRadius Corporation was founded in 2006 and is based in Houston, Texas with the additional locations in Amsterdam, the Netherlands; Frankfurt, Germany; North America; and the Asia Pacific.",HighRadius is a SaaS company that develops an artificial intelligence-based order-to-cash and treasury management software.
Hindsait,hindsait.com,"Hindsait provides a SaaS platform that leverages Artificial Intelligence (AI) and predictive analytics to rationalize healthcare data and analyze it to predict outcomes. The company's systems allows physicians and administrators at hospitals, health insurance plans and allied businesses organizations and providers to improve decision making processes such as preventing unnecessary services, correct missed preventive care opportunities and speed up provider quality reporting (such as HEDIS and STAR ratings).","Hindsait, Inc. provides an artificial intelligence enabled SaaS platform to improve patient outcomes and drive down operating costs. It offers Hindsait, a SaaS platform that leverages clinical practices, and historical and real-time data to speed up clinical and administrative decisions, and prevent errors and fraud. The companys Hindsait uses supervised and unsupervised machine learning to mine clinical and business datasets to uncover hidden trends and connections. It serves healthcare payers, healthcare providers, and other healthcare entities. The company was founded in 2013 and is based in Hackensack, New Jersey.",Artificial Intelligence for Better Healthcare
Inbenta,inbenta.com,"Inbenta specializes in natural language processing and semantic search to improve the customer experience. Its integrated offering of six enterprise-grade AI and NLP-driven products -- the Inbenta Chatbot, Semantic Search, E-Commerce Search, Knowledge Management, Case Management, and Live Chat, automates over 300+ million real-time customer interactions per year across the web, mobile, social, and SMS channels, and natively supports 30 languages servicing a number of multinationals and diverse support organizations.","Inbenta Holdings, Inc. operates in the technology industry. The company was incorporated in 2016 and is headquartered in San Mateo, California.","Inbenta is a cloud-based, AI-powered Natural Language Search for customer support and E-Commerce."
IndustrialML,industrialml.com,"IndustrialML collects, cleans, and curates factory sensor and enterprise IT data, enabling proprietary machine learning platforms to optimize factory productivity.","IndustrialML, Inc. develops enterprise software to collect, clean, and curate factory sensor and enterprise IT data. It offers DASHBOARD ML, a process monitoring solution to integrate camera, machine, sensor, and software data across any device. The company also provides QUALITY ML, a machine vision and ML insights solution to identify visual defects, validate specifications, and simulate and optimize lines. In addition, it offers PRODUCTIVITY ML, a closed-loop control solution to streamline analysis and adjust factory settings for optimal productivity. It serves commodities, metals and mining, food processing, chemicals, automotive, aerospace, energy, and oil and gas industries. IndustrialML, Inc. was incorporated in 2018 and is based in Quincy, Massachusetts.",IndustrialML is a Boston-based startup serving industrial customers. We make factories smarter.
Invisible AI,invisible.ai,Invisible AI is a visual intelligence platform for logistics and manufacturing facilities.,"Invisible AI Inc. develops artificial intelligence-based cameras backed by visual intelligence platform for logistics and manufacturing facilities. Its camera is used to monitor facilities and warehouses. The company also provides a web dashboard that gives clients the visibility and built-in intelligence to keep the data safe. In addition, its platform integrates, tracks, and analyzes the data, which helps clients in optimizing their workflow. Invisible AI Inc. was founded in 2018 and is headquartered in San Francisco, California.",Invisible AI is a next-generation computer vision company.
Iris Automation,irisonboard.com,Iris Automation enables safer drone operation through intelligent collision avoidance. Iris Automation is a high-tech computer vision company working to build revolutionary new ways for industrial drones and unmanned systems to see and navigate the world.,"Iris Automation Inc. develops collision avoidance systems for operating industrial drones. It offers an artificial intelligence computer that blends real-time images and 3D maps to track incoming objects. The companys onboard software tracks and avoids dynamic and static objects on the ground and in the air at short-range and long-range. In addition, its system is built to process visual data in real-time holding the capability to see structures that suddenly appear, such as a plane, flock of birds, and another drone. The company serves the avionics industry worldwide. Iris Automation Inc. was founded in 2015 and is based in San Francisco, California with an additional operation in Reno, Nevada.",Iris Automation is an artificial intelligence and safety avionics company building collision-avoidance systems for autonomous drones.
iSee,isee.ai,"iSee aims to use deep learning and computer vision technology to gives its trucks ""common sense."" It develops a robot that can help cars develop self-driving capabilities.","Isee Limited provides travel, tour, transportation, and accommodation services on a wholesale or retail basis to the general public and commercial clients. Isee Limited was incorporated in 2017 and is based in Leeds, United Kingdom.",ISEE develops a humanistic artificial intelligence for autonomous driving.
Jetlore,jetlore.com,Jetlore provides advanced CRM and email targeting tools for e-commerce companies. The company's NLP and ML algorithms process public user data and prior campaign data to build rich user targeting profiles and find you the critical user segment for each email promotion to increase conversion rates and customer satisfaction.,"Jetlore, Inc. provides an artificial intelligence powered prediction platform for retailers. It analyzes actions and behavior of the customers and provides relevant promotions, products, and content for each customer shopping. The company was incorporated in 2010 and is based in Sunnyvale, California. As of May 29, 2018, Jetlore, Inc. operates as a subsidiary of PayPal Holdings, Inc.",Jetlore offers an AI-powered prediction platform for retailers and beyond.
Jobiak,jobiak.ai,"Jobiak provides an AI-based recruitment optimization platform that is designed to quickly and directly publish job postings to Google for Jobs, maximize their ranking and accelerate the flow of qualified candidates. Jobiak offers s direct path to posting and achieving high ranking on social and search engines (e.g. Google for Jobs) without the need for HTML coding or developer support.","Jobiak, LLC develops an artificial intelligence (AI) based recruitment platform for search and social media platforms. Its platform offers direct path to posting on social and search engines such as Google for Jobs without the need for HTML coding or developer support. It serves recruiters, talent acquisition teams, and human resources professionals. Jobiak, LLC was incorporated in 2018 and is based in Burlington, Massachusetts. It has an additional location in Hyderabad and Visakhapatnam, India.","Jobiak is an AI-based recruitment marketing platform that publishes job postings to Google, accelerating the flow of qualified candidates."
JoBox,jobox.ai,JoBox utilizes machine learning to manage job distribution better & smarter.The company's vision is to create a robust efficiency in the on-demand market with our AI solutions.,"JoBox, Inc. is a stealth mode company focusing on artificial intelligence solutions. The company was founded in 2016 and is based in Palo Alto, California.",JOBOX.ai is a stealth mode AI startup disrupting the on-demand economy.
Jog.ai,jog.ai,Jog.ai is a speech analytics and natural language technology firm that utilizes a speech recognition platform based on NLP to highlight parts of a customer's calls.,"Jog.ai Inc. provides a SaaS based platform that allows recording and transcription of phone calls. The company was founded in 2016 and is based in Austin, Texas. As of April 1, 2019, Jog.ai Inc. operates as a subsidiary of Evolve IP, LLC.",A platform that indexes voice data to make it searchable and accessible
Kanjoya,kanjoya.com,"Kanjoya uses natural language processing (NLP) and machine learning (ML) methods to deliver meaning and context from unstructured data in real-time, from sources including surveys, performance reviews, and interview notes. The company builds projects that offer data integration, deliver results, and enable emotion in technology via three platforms: Crane, which discovers insights through emotional signals; Experience Project, which connects people around common life experiences; and BroadCause, which injects story-telling and narrative into cause campaigns.","Kanjoya, Inc. develops workforce intelligence and analytics platform for enterprises. The company was founded in 2006 and is based in San Francisco, California. Kanjoya, Inc. operates as a subsidiary of The Ultimate Software Group, Inc.",Revealing emotion & intent driving critical business outcomes.
KenSci,kensci.com,"KenSci's healthcare data platform and machine learning-powered applications are built collaboratively with practicing physicians, data scientists, machine learning developers and computing and biomedical researchers. KenSci is engineered to predict clinical risk, financial risk and operational risk, enabling health systems to transition to value-based care.On June 24th, 2021, KenSci was acquired by Tegria. The terms of the transaction were not disclosed.","KenSci Inc. develops a vertically integrated machine learning platform for healthcare clients. It offers a predictive risk management platform that helps physicians and payers intervene earlier; predict population health risk by identifying patterns and surfacing high risk markers; model disease progression and detect co morbidity to predict chronic and critical illness; operationalize care coordination at out-patient, in-patient, and home care by predicting risk and flow; and identify and intervene to reduce wastage across fraud, denials, and outlier cost patterns. KenSci Inc. has a strategic partnership with T3k Health. The company was founded in 2015 and is headquartered in Seattle, Washington with additional locations in Hyderabad, India and Singapore. As of June 24, 2021, KenSci Inc. operates as a subsidiary of Tegria Services Group, Inc.","KenSci offers Healthcare AI platfrom & prediction apps that work across Clinical workflows, Cost Mgmt & Hospital Ops. #DeathVsDataScience. "
Kensho Technologies,kensho.com,"Kensho is empowering financial institutions with technology that brings transparency to markets. Kensho is pioneering real-time statistical computing systems and scalable analytics architectures-the next generation of improvements to the global financial system. Kensho harnesses massively-parallel statistical computing, user-friendly visual interfaces and breakthroughs in unstructured data engineering and predictive analytics to create the next-generation analytics platform for investment professionals. Addressing the most significant challenges surrounding investment analysis on Wall Street today-achieving speed, scale, and automation of previously human-intensive knowledge work-Kensho's intelligent computer systems are capable of answering complex financial questions posed in plain Engli","Kensho Technologies, Inc. provides analytics, artificial intelligence, machine learning, and data visualization systems to global banks and investment institutions. It develops Kensho Financial Analytics Software that deploys scalable analytics systems across the commercial institutions. It also offers artificial intelligence (AI) software called Kensho Applied Mind. The company also operates a national security division called Koto. The company was incorporated in 2012 and is based in Cambridge, Massachusetts. It has additional offices in New York, New York; McLean, Virginia; and Pacific Palisades, California. As of April 8, 2018, Kensho Technologies, Inc. operates as a subsidiary of S&P Global Inc.","Kensho combines natural language search, graphical user interfaces, and secure cloud computing to create a new class of analytics tools."
Lifekind,lifekind.ai,"Lifekind creates AI personas that represent real people, deeply resembling their thoughts, memories, behaviors, and interactive conversations. The company has developed comprehensive Artificial Intelligence (AI) solutions for digital human technology, including RAIN, a video game industry solution for creating autonomous characters, and Elise, an AI-powered digital human in VR. On June 1, 2021, Lifekind was acquired by AI Foundation. The terms of the transaction were not disclosed.","Lifekind designs and develops AI Persona that allows to ask a question, receive help, talk, and learn from coaches, teachers, scientists, entertainers, and personalities. The company is based in the United States. As of June 1, 2021, Lifekind operates as a subsidiary of AI Foundation.",Lifekind is a developer of AI persona designed to represent real people.
Lighthouse AI,light.house,"Lighthouse, an AI services company that has developed an interactive assistant. Lighthouse uses deep learning and 3D sensing technology to introduce a level of awareness within the home while you're away, accurately distinguishing between adults, children, pets and objects, known and unknown faces, and actions. The Lighthouse interactive assistant provides insight to three core things: what has happened, what is happening and what is happening that shouldn't be happening.","Lighthouse AI, Inc. provides artificial intelligence solutions that notify the user when it detects actual movement triggered by a person it doesnt recognize. The company was incorporated in 2014 and is based in Palo Alto, California.",Lighthouse is the home camera for smart home.
LightSide Labs,lightsidelabs.com,"LightSide Labs brings the state-of-the-art in automated natural language understanding to middle and high schools, focusing on how to improve tools to support student writers. The company's technology is open source and was developed at Carnegie Mellons' Language Technologies Institute, which has produced research contributing to Apple's Siri personal assistant, IBM's Watson question-answering engine, Google's and Microsoft's Bing search engines, and recommendation software like Netflix and Pandora.","LightSide Labs, LLC designs and develops machine learning platforms that assess student writing. The company was founded in 2013 and is based in Pittsburgh, Pennsylvania. As of October 7, 2014, LightSide Labs, LLC operates as a subsidiary of Turnitin, LLC.",LightSide Labs develops technology for automated revision assistance and classroom support.
