Companies,URL,CBInsightsDescription,QuidDescription,CrunchbaseDescription
Monteris Medical,monteris.com,"Monteris Medical develops MRI-guided neurosurgical ablation tools and solutions for neurosurgeons. By combining Magnetic Resonance Imaging (MRI), advanced navigation software and Laser Interstitial Thermal Therapy, the company has created a system enabling surgeons to reach lesions that are difficult to access with standard surgery or were previously considered inoperable. Monteris offers The NeuroBlate System, a neurosurgical ablation device providing controlled therapy for brain lesions, the Monteris Mini-Bolt, a cranial bolt system that enables a robotic interface for protected and precise therapy delivery, as well as the AtamA Stabilization System for MRI-guided neurosurgical procedures requiring head fixation.","Monteris Medical, Inc. develops and markets devices for minimally-invasive, magnetic resonance imaging guided, and robotically controlled neurosurgery procedures. It offers NeuroBlate System, a minimally-invasive laser thermotherapy system for the volumetric ablation of pathologic brain lesions, such as primary and metastatic tumors. The company also offers various stereotactic anchoring devices for image-guided trajectory alignment; and AtamA stabilization systems for MR based procedures requiring head fixation. It offers its products through sales representatives to neurosurgeons in the United States. Monteris Medical, Inc. was formerly known as AutoLITT and changed its name to Monteris Medical, Inc. in January 2003. The company was founded in 1999 and is based in Plymouth, Minnesota with additional offices in Minneapolis, Minnesota; and Winnipeg, Canada.",Monteris Medical is a medical device venture that develops new technologies for the treatment of cancer.
Moon Express,moonexpress.com,"Moon Express is a privately funded lunar resource company created to establish new avenues for commercial space activities benefitting life on Earth. Commonly referred to as Moon Ex, the company was founded by Dr. Bob Richards, Naveen Jain, and Dr. Barney Pell in August 2010 and officially entered the Google Lunar X Prize Competition (GLXP) in October of that same year. Headquartered in the NASA Ames Research Park in Mountain View, CA, Moon Express combines Silicon Valley lean start-up principles with expertise in aerospace engineering and planetary sciences. Moon Express plans to send a series of low-cost robotic missions to the Moon focused on opening up the resources of the Moon for the benefit of humanity.","Moon Express Inc., a commercial space company, manufactures a series of robotic spacecraft that are sent on Moon for ongoing exploration and commercial development. It offers MX-1 commercial lunar lander, a robotic space vehicle capable of various applications, including delivering scientific and commercial payloads to the Moon. The company serves NASA. Moon Express Inc. was founded in 2010 and is based in Cape Canaveral, Florida with propulsion development and test facilities in Huntsville, Alabama.","Moon Express develops a robotic spacecraft for low cost missions beyond the Earth, including the Moon, asteroids, and Mars."
Mythic,mythic-ai.com,"Mythic develops a local AI platform, comprised of both hardware and software, that turns devices into secure intelligent assistants. Mythic leverages local AI to enable consumer electronics, wearable and security and monitoring manufacturers to deliver integration and privacy demanded by consumers. Initial targeted markets include smart home, action cameras, healthcare systems, security and monitoring for commercial and home use and drones for industrial applications.","Mythic Inc. designs and develops silicon chips and intelligence processing unit (IPU) based on artificial intelligence (AI). Its AI platform puts desktop GPU compute capabilities and neural networks onto a button-sized chip. The company was formerly known as Isocline Engineering Corporation and changed its name to Mythic Inc. in March 2017. Mythic Inc. was founded in 2012 and is based in Redwood City, California with an additional office in Austin, Texas.",Mythic is an inference processor company that deploys artificial intelligence in any device.
Neato Robotics,neatorobotics.com,"Neato Robotics provides technologies and products to free people from household chores. The company has developed the Neato XV-21, a vacuum for pet owners which works on all floor types, includes a new bristled brush to improve the pick-up of pet hair, dander and fibers and allows the vacuum cleaner to run more quietly than previous models, especially on hardwood floors. A new filter, which is cleanable and designed for long-term use, provides increased airflow and suction power that allows the Neato XV-21 to pick up and retain more than three times the fine dust particles of the company's standard filter.","Neato Robotics, Inc. manufactures and markets robot vacuum cleaners for automated floor cleaning. It offers Botvac Connected robots that are Wi-Fi enabled for the smart to clean anytime and from anywhere with the Neato application. The company also provides accessories, such as boundary markers, combo brushes, filters, side brushes, spiral blade brushes, brush kits, battery packs, charge bases, dirt bins, battery replacement kits, and brush guards and squeegees. It sells its products through distributors and retailers in the United States and internationally. Neato Robotics, Inc. was founded in 2004 and is based in Newark, California. As of September 20, 2017, Neato Robotics, Inc. operates as a subsidiary of Vorwerk & Co. KG.",Neato Robotics is a venture-funded startup developing robotic-based household appliances.
Neocis,neocis.com,"Neocis is a privately held company focused on improving health care through robotic assistance, manufactures and markets YOMI, a robot-assisted surgical platform for the dental industry.","Neocis, Inc. manufactures and markets robotic guidance system for dental implant procedures and surgeries. The company offers Yomi, a precision instrument that helps in placement of dental implants with a planning software. The system bridges computer imagery from a CT scan with execution of the surgical plan. The company was founded in 2009 and is based in Miami, Florida.",Neocis develops robot-assisted dental implant surgery with the aim of transforming dental surgery using advanced robotics.
Neurala,neurala.com,"Neurala creates software that makes robots, drones, toys, consumer electronics, self-driving cars and smart devices (ioT) more autonomous, engaging and useful. The Neurala Brain is based on the way the human brain works using passive sensors (e.g., cameras like eyes and microphones like ears), making real-time intelligent decisions.","Neurala, Inc. develops deep learning neural network software for robots, drones, self-driving cars, and intelligent devices that adapt to perform useful tasks. The company offers the Neurala Brain, a solution that makes smart products, such as robots, drones, toys, self-driving cars, and smart cameras autonomous. Its solutions include The Neurala Brains For Bots, a bots software development kit and a camera that work on various systems from single board computers to large servers, as well as enable them to learn people and objects, recognize and find them in a video stream, and track them as they move. The company also provides Brain Builder, a SaaS platform to streamline the creation of custom vision AI solutions; Neurala Brain Net, a tool that scans videos and images to identify and locate the objects and concepts that are important to business; and Roboscope, a gaming software for parrot jumping minidrone. Neurala, Inc. was incorporated in 2006 and is based in Boston, Massachusetts with an additional office in San Mateo, California.",Neurala provides an AI platform that empowers companies to automate visual inspections.
NovaSignal,novasignal.com,"NovaSignal Corp. is a medical technology company whose mission is to save lives by unlocking the hidden power of blood flow data. The companyâ€™s FDA-cleared Lucid Robotic System combines non-invasive ultrasound, robotics, and artificial intelligence to assess real-time cerebral blood flow. Through the use of cloud computing and data analytics services, NovaSignal will support physicians in their clinical decision making, leading to better patient outcomes.","NovaSignal Corporation, a medical device company, researches, develops, and manufactures screening, diagnostic, and monitoring medical device systems to know how brain health is managed. The company's products include Lucid robotic system and Lucid M1 system. Its devices are used for the early detection of stroke, trauma, and dementia. The company was formerly known as Neural Analytics, Inc. and changed its name to NovaSignal Corporation in July 2020. NovaSignal Corporation was founded in 2013 and is based in Los Angeles, California with a location in Bengaluru, India.",NovaSignal is a medical technology company commercializing a robotic cerebral ultrasound system.
Oculii,oculii.com,"Oculii develops high-resolution imaging radars for autonomous systems. The company's Virtual Aperture Imaging radar software increases the angular resolution using a phase-coded modulation process. Oculii is helping self-driving vehicle, robotics, and drone companies deliver an autonomous future with a sophisticated, robust, low-cost sensing platform.","Oculii Corp. develops radar sensors for intelligent transportation, automotive, aerial, and consumer applications. The company offers RFS-4DHD, a high definition integrated K-band 4D tracking radar for automotive, traffic, airborne, medical, and security applications; RFS-V, a high performance integrated K-Band tracking radar, which overlays in real-time high resolution 4D information (3D position plus speed) radar and tracks information on top of real-time streaming video; and RFS-M that provides real-time 4D tracking on a mobile platform. It also provides VISDAR-P, a portable/hand held automated speed enforcement system equipped with radar sensor and a touch-screen monitor that displays real-time video with tracked data overlaid with tracked radar data on a touch-screen monitor; and VISDAR-2000, an automated speed enforcement camera equipped with 4D radar sensor that is capable of monitoring 3D position and speed of multiple vehicles, as well as recording video, radar, and photographic evidence if a speeding or red light violation occurs. Oculii Corp. has a strategic partnership with HELLA GmbH & Co. KGaA. The company was founded in 2015 and is based in Beavercreek, Ohio with additional offices in California; and Beijing, China.",Oculii is a developer of high-resolution imaging radars for autonomous systems.
Omnicell,omnicell.com,"Omnicell (NASDAQ: OMCL) is a provider of medication and supply management solutions and adherence tools to healthcare systems and pharmacies. As a leader in medication and supply dispensing automation, central pharmacy automation, IV robotics, analytics software, and medication adherence and packaging systems, Omnicell is focused on improving care across the entire healthcare continuum - from the acute care hospital setting, to post-acute skilled nursing and long-term care facilities, to the patient's home.","Omnicell operates as a subsidiary of Omnicell, Inc.","Omnicell, Inc. (NASDAQ: OMCL) is a leading provider of automated and business information solutions enabling hospitals and healthcare"
Opentrons,opentrons.com,Opentrons makes robots for biologists. The company seeks to provide the scientific community with a common platform to easily share protocols and reproduce each other's results. Its robots automate experiments that would otherwise be done by hand.,"Opentrons Labworks, Inc. manufactures and develops laboratory robots for biologists in the United States and internationally. It offers OT-2 to automate life science protocols and workflows, and pipetting. The company also provides high-precision pipettes; Thermocycler Module, an automated on deck thermocycler with programmable lid and block temperatures; Temperature Module that sits securely on the deck of the OT-2; and Magnetic Module, a magnetic bead-based chemistry block for extraction and purification. In addition, it offers OT App that enables users to upload a protocol, calibrate positions, and run their experiment from their computer. The company sells its products online. Opentrons Labworks, Inc. was founded in 2013 and is headquartered in Brooklyn, New York.",OpenTrons is a developer of a pipetting robot technology designed to automate experiments.
Osaro,osaro.com,"Osaro specializes in AI software for industrial automation. Osaro offers integrated perception and control software for industrial scale robotic deployments (ASRS systems, auto manufacturing, food prep, and e-commerce).","Osaro Limited offers railways and underground railways construction services. Osaro Limited was incorporated in 2017 and is based in Dagenham, United Kingdom.",Osaro is an artificial intelligence company developing products based on proprietary deep reinforcement learning technology.
Plus One Robotics,plusonerobotics.com,Plus One Robotics makes vision software for logistics robots and gives robots the eye-hand coordination to pick and place objects in the warehouses and distribution centers using 3D and AI-powered perception so that robots get smarter over time. It implements high-performance manipulators with advanced vision capabilities.,"Plus One Robotics Inc. develops 3D vision and control software solutions for robotic automation, imaging parcels, and generating robot pick points in the logistics and e-commerce markets. It offers PickOne, a vision software that works with any robot, gripper, and cloud service to deliver precise hand-eye coordination enabling robots to perform a range of warehouse tasks; Yonder, the companyÂ’s supervisory software that leverages human intelligence to handle exceptions for the variety of items passing from dock to door; Quick Deployment Kit, a fully integrated hardware and software solution, including perception, manipulation, and intelligence; and CheckOne, a 3D vision scan tunnel that monitors and reports each induction event, enabling data-driven quality improvements. The company was incorporated in 2016 and is based in San Antonio, Texas with an additional office in Boulder, Colorado.",Plus One Robotics builds robot perception software and solutions.
PrecisionHawk,precisionhawk.com,"PrecisionHawk specializes in developing and integrating commercial drone technology. From farming to disaster response, PrecisionHawk is using aerial technology to improve efficiency, increase safety, generate additional revenue, and ultimately change the way businesses view their assets and manage resources.","PrecisionHawk Inc. provides drones, sensors, and software packages for agriculture, construction, energy, insurance, and government industries. It offers services in the areas of pilot network, consulting, and training. PrecisionHawk Inc. was founded in 2010 and is based in Raleigh, North Carolina. It has locations in College Station, Texas; Indianapolis, Indiana; Toronto, Canada; Virginia Beach, Virginia; and Denver, Colorado.",Precision Hawk develops and integrates commercial drone technology that redefines aerial data collection and analysis.
Proxy Technologies,proxyaviation.com,"Proxy Technologies is a developer in optionally piloted aircraft and multi-aircraft cooperative flight control systems. Proxy's solutions can be adapted to a wide range of piloted aircraft, Unmanned Aerial Vehicles, and surface vehicles allowing a single mission commander to manage multiple platforms simultaneously. With Proxy's autonomous technology, fewer ground personnel are required to accomplish a mission. One operator is able to control up to 12 vehicles simultaneously. The UDMS is enabled by the Virtual Pilot / Virtual Operator (VP/O) continually sharing information to make real time and routine rules-based decisions freeing up the operator to carry out complex military missions or civilian objectives.","Proxy Technologies, Inc. provides Proxy, an application to access offices, buildings, apartments, and schools on iPhone and Android phones. The company offers mobile reader edge, install system for keyless access; mobile reader nano, powerful mobile access module; identity signal; mobile access manager, access to workplace or building; mobile access connector; and presence aware, A sense and react technology that transforms workplace. Its application is used by startups to manage their team's access to the office, and to grant and revoke temporary access at any time; enterprises to keep access management software and electrified door infrastructure; apartment managers and landlords to provide tenants with access throughout the apartment complex; and schools and universities to provide a student-friendly approach to accessing department and campus facilities. Proxy Technologies, Inc. was formerly known as Martians, Inc. The company was incorporated in 2013 and is based in San Francisco, California.",Proxy Technologies develops and supplies optionally piloted aircraft and multi-aircraft cooperative flight control systems for the U.S.
